AQHN01000001.1:['XOC_0082', '3662173', '3662482', '-1', '64.151', 'True']
KI632510.1:['XOC_0080', '6413157', '6414501', '1', '86.801', 'True']
KI632510.1:['XOC_0077', '6417474', '6418377', '1', '73.038', 'True']
KI632510.1:['XOC_0083', '6410742', '6412032', '1', '84.419', 'True']
KI632510.1:['XOC_0085', '6303444', '6304677', '-1', '81.347', 'True']
AHJU02000001.1:['XOC_0078', '4864530', '4866084', '-1', '72.978', 'True']
AHJU02000001.1:['XOC_0086', '4861360', '4862290', '1', '100.0', 'True']
AHJU02000001.1:['XOC_0081', '4868200', '4869043', '-1', '84.791', 'True']
AHJU02000001.1:['XOC_0082', '4869029', '4870289', '-1', '85.167', 'True']
AHJU02000001.1:['XOC_0084', '4870636', '4871917', '-1', '85.0', 'True']
AHJU02000001.1:['XOC_0083', '4870310', '4870631', '-1', '85.167', 'True']
AHJU02000001.1:['XOC_0077', '4863631', '4864534', '-1', '70.169', 'True']
AHJU02000001.1:['XOC_0079', '4861360', '4862290', '1', '32.319', 'True']
AHJU02000001.1:['XOC_0080', '4866857', '4868201', '-1', '78.523', 'True']
AHJU02000001.1:['XOC_0076', '4862478', '4863645', '-1', '82.222', 'True']
AXAB01000001.1:['XOC_0084', '4067275', '4068496', '-1', '89.25', 'True']
AXAB01000001.1:['XOC_0077', '4060566', '4061454', '-1', '73.702', 'True']
AXAB01000001.1:['XOC_0080', '4063408', '4064752', '-1', '85.906', 'True']
AXAB01000001.1:['XOC_0081', '4064751', '4065633', '-1', '84.286', 'True']
AXAB01000001.1:['XOC_0082', '4065583', '4065892', '-1', '64.706', 'True']
AXAB01000001.1:['XOC_0086', '4070661', '4071594', '1', '84.641', 'True']
AXAB01000001.1:['XOC_0078', '4061450', '4063001', '-1', '75.385', 'True']
AXAB01000001.1:['XOC_0083', '4065893', '4067183', '-1', '86.288', 'True']
AXAB01000001.1:['XOC_0079', '142261', '143185', '-1', '41.339', 'True']
AXAG01000003.1:['XOC_0077', '7552965', '7553868', '-1', '72.696', 'True']
AXAG01000003.1:['XOC_0083', '7559195', '7560485', '-1', '84.471', 'True']
AXAG01000003.1:['XOC_0084', '7560579', '7561785', '-1', '89.141', 'True']
AXAG01000003.1:['XOC_0080', '7556710', '7558054', '-1', '82.55', 'True']
AXAG01000003.1:['XOC_0079', '7555557', '7556556', '-1', '75.988', 'True']
AXAG01000003.1:['XOC_0078', '7553864', '7555415', '-1', '74.615', 'True']
AXAG01000003.1:['XOC_0081', '7558053', '7558899', '-1', '88.015', 'True']
AXAG01000003.1:['XOC_0082', '7558903', '7559194', '-1', '65.217', 'True']
AXAX01000001.1:['XOC_0083', '8285838', '8287128', '1', '84.706', 'True']
AXAX01000001.1:['XOC_0080', '8288269', '8289613', '1', '82.998', 'True']
AXAX01000001.1:['XOC_0082', '8287129', '8287420', '1', '66.304', 'True']
AXAX01000001.1:['XOC_0084', '8284549', '8285755', '1', '88.889', 'True']
AXAX01000001.1:['XOC_0081', '8287424', '8288270', '1', '87.64', 'True']
AXAX01000001.1:['XOC_0077', '8292455', '8293358', '1', '73.038', 'True']
AXAX01000001.1:['XOC_0079', '8289767', '8290766', '1', '75.684', 'True']
AXAX01000001.1:['XOC_0078', '8290908', '8292459', '1', '74.615', 'True']
CP007569.1:['XOC_0082', '410350', '410641', '1', '65.217', 'True']
CP007569.1:['XOC_0081', '410645', '411491', '1', '88.015', 'True']
CP007569.1:['XOC_0078', '414129', '415680', '1', '74.615', 'True']
CP007569.1:['XOC_0077', '415676', '416579', '1', '73.038', 'True']
CP007569.1:['XOC_0079', '412988', '413987', '1', '75.988', 'True']
CP007569.1:['XOC_0080', '411490', '412834', '1', '82.55', 'True']
CP007569.1:['XOC_0084', '407759', '408965', '1', '89.141', 'True']
CP007569.1:['XOC_0083', '409059', '410349', '1', '84.235', 'True']
CP002279.1:['XOC_0083', '4986770', '4988015', '1', '34.132', 'True']
CP002279.1:['XOC_0080', '6393175', '6394513', '1', '83.596', 'True']
CP002279.1:['XOC_0077', '6397506', '6398409', '1', '72.696', 'True']
CP002279.1:['XOC_0079', '6394664', '6395663', '1', '78.354', 'True']
CP002279.1:['XOC_0082', '6392033', '6392339', '1', '63.366', 'True']
CP002279.1:['XOC_0081', '6392813', '6393161', '1', '83.019', 'False']
CP002279.1:['XOC_0076', '6398493', '6399543', '1', '87.977', 'True']
CP002279.1:['XOC_0078', '6395959', '6397510', '1', '76.331', 'True']
CP002279.1:['XOC_0083', '6390739', '6392032', '1', '35.583', 'True']
KI911783.1:['XOC_0076', '2451576', '2453604', '1', '83.714', 'True']
KI911783.1:['XOC_0080', '2447228', '2448572', '1', '84.787', 'True']
KI911783.1:['XOC_0082', '2446100', '2446403', '1', '64.0', 'True']
KI911783.1:['XOC_0078', '2450032', '2451580', '1', '77.165', 'True']
KI911783.1:['XOC_0079', '2448717', '2449725', '1', '77.91', 'True']
KI911783.1:['XOC_0081', '2446389', '2447229', '1', '85.24', 'True']
KI911783.1:['XOC_0083', '2444806', '2446099', '1', '82.791', 'True']
KI911783.1:['XOC_0084', '2443511', '2444714', '1', '89.75', 'True']
CP003057.2:['XOC_0078', '78428', '79988', '-1', '100.0', 'True']
CP003057.2:['XOC_0076', '76448', '77549', '-1', '100.0', 'True']
CP003057.2:['XOC_0083', '83535', '84828', '-1', '100.0', 'True']
CP003057.2:['XOC_0080', '81059', '82403', '-1', '100.0', 'True']
CP003057.2:['XOC_0082', '83234', '83543', '-1', '100.0', 'True']
CP003057.2:['XOC_0077', '77535', '78432', '-1', '100.0', 'True']
CP003057.2:['XOC_0084', '84915', '86118', '-1', '100.0', 'True']
CP003057.2:['XOC_0081', '82402', '83443', '-1', '100.0', 'True']
CP003057.2:['XOC_0085', '86129', '87293', '-1', '100.0', 'True']
CP003057.2:['XOC_0079', '79984', '80983', '-1', '100.0', 'True']
ADOU02000001.1:['XOC_0084', '5747371', '5748577', '-1', '88.889', 'True']
ADOU02000001.1:['XOC_0079', '5742360', '5743359', '-1', '75.684', 'True']
ADOU02000001.1:['XOC_0078', '5740667', '5742218', '-1', '74.615', 'True']
ADOU02000001.1:['XOC_0083', '5745998', '5747288', '-1', '84.706', 'True']
ADOU02000001.1:['XOC_0077', '5739768', '5740671', '-1', '73.038', 'True']
ADOU02000001.1:['XOC_0080', '5743513', '5744857', '-1', '82.998', 'True']
ADOU02000001.1:['XOC_0082', '5745706', '5745997', '-1', '66.304', 'True']
ADOU02000001.1:['XOC_0081', '5744856', '5745702', '-1', '87.64', 'True']
LJYE01000001.1:['XOC_0080', '8803697', '8804396', '1', '77.128', 'False']
LJYE01000001.1:['XOC_0078', '8806399', '8807950', '1', '75.937', 'True']
LJYE01000001.1:['XOC_0081', '8802816', '8803698', '1', '83.333', 'True']
LJYE01000001.1:['XOC_0080', '8804344', '8805055', '1', '80.508', 'False']
LJYE01000001.1:['XOC_0082', '8802557', '8802866', '1', '63.725', 'True']
LJYE01000001.1:['XOC_0084', '8799971', '8801174', '1', '87.0', 'True']
LJYE01000001.1:['XOC_0083', '8801265', '8802555', '1', '84.689', 'True']
LJYE01000001.1:['XOC_0079', '8805182', '8806190', '1', '74.925', 'True']
LJYE01000001.1:['XOC_0077', '8807946', '8808906', '1', '72.449', 'True']
ATTQ01000001.1:['XOC_0081', '6946912', '6947779', '1', '80.936', 'True']
ATTQ01000001.1:['XOC_0083', '6945314', '6946619', '1', '86.761', 'True']
ATTQ01000001.1:['XOC_0077', '6951945', '6952848', '1', '73.72', 'True']
ATTQ01000001.1:['XOC_0085', '6486532', '6487765', '-1', '82.383', 'True']
ATTQ01000001.1:['XOC_0080', '6947784', '6949122', '1', '86.517', 'True']
ATTQ01000001.1:['XOC_0084', '6944017', '6945220', '1', '89.75', 'True']
ATTQ01000001.1:['XOC_0076', '6952867', '6953983', '1', '85.833', 'True']
ATTQ01000001.1:['XOC_0078', '6950398', '6951949', '1', '76.346', 'True']
ATTQ01000001.1:['XOC_0079', '6949273', '6950272', '1', '79.154', 'True']
ATTQ01000001.1:['XOC_0082', '6946606', '6946870', '1', '80.936', 'True']
AYVN01000001.1:['XOC_0078', '1762427', '1763978', '-1', '74.808', 'True']
AYVN01000001.1:['XOC_0080', '1765247', '1766591', '-1', '84.564', 'True']
AYVN01000001.1:['XOC_0084', '1769108', '1770311', '-1', '87.5', 'True']
AYVN01000001.1:['XOC_0077', '1761528', '1762431', '-1', '70.648', 'True']
AYVN01000001.1:['XOC_0082', '1766881', '1767727', '-1', '80.069', 'True']
AYVN01000001.1:['XOC_0076', '1760396', '1761509', '-1', '86.111', 'True']
AYVN01000001.1:['XOC_0081', '1766590', '1766851', '-1', '80.069', 'True']
AYVN01000001.1:['XOC_0079', '1764124', '1765117', '-1', '75.077', 'True']
AYVN01000001.1:['XOC_0083', '4884309', '4885545', '1', '30.747', 'True']
AYVN01000001.1:['XOC_0083', '1767728', '1769018', '-1', '82.326', 'True']
AYVM01000001.1:['XOC_0084', '5055096', '5056299', '-1', '88.0', 'True']
AYVM01000001.1:['XOC_0081', '5052577', '5052847', '-1', '81.787', 'True']
AYVM01000001.1:['XOC_0083', '5053715', '5055071', '-1', '82.742', 'True']
AYVM01000001.1:['XOC_0079', '5050111', '5051104', '-1', '75.385', 'True']
AYVM01000001.1:['XOC_0082', '5052877', '5053714', '-1', '81.787', 'True']
AYVM01000001.1:['XOC_0076', '5046383', '5047496', '-1', '86.111', 'True']
AYVM01000001.1:['XOC_0080', '5051234', '5052578', '-1', '84.34', 'True']
AYVM01000001.1:['XOC_0077', '5047515', '5048418', '-1', '70.99', 'True']
AYVM01000001.1:['XOC_0078', '5048414', '5049965', '-1', '75.639', 'True']
AYVP01000001.1:['XOC_0078', '5080809', '5082531', '-1', '74.031', 'True']
AYVP01000001.1:['XOC_0082', '5085298', '5086144', '-1', '82.131', 'True']
AYVP01000001.1:['XOC_0083', '5086145', '5087501', '-1', '82.742', 'True']
AYVP01000001.1:['XOC_0080', '5083664', '5085008', '-1', '84.787', 'True']
AYVP01000001.1:['XOC_0079', '5082527', '5083517', '-1', '76.972', 'True']
AYVP01000001.1:['XOC_0077', '5079910', '5080813', '-1', '70.99', 'True']
AYVP01000001.1:['XOC_0076', '5078976', '5079924', '-1', '82.0', 'True']
AYVP01000001.1:['XOC_0084', '5087526', '5088729', '-1', '88.0', 'True']
AYVP01000001.1:['XOC_0083', '3788853', '3790089', '1', '30.108', 'True']
AYVP01000001.1:['XOC_0081', '5085007', '5085268', '-1', '82.131', 'True']
AJPV01000001.1:['XOC_0081', '7535660', '7536446', '-1', '35.317', 'True']
AJPV01000001.1:['XOC_0078', '8054330', '8055881', '-1', '74.951', 'True']
AJPV01000001.1:['XOC_0077', '8053446', '8054334', '-1', '73.356', 'True']
AJPV01000001.1:['XOC_0080', '8057271', '8057823', '-1', '73.171', 'False']
AJPV01000001.1:['XOC_0079', '8056140', '8056953', '-1', '80.0', 'True']
CP003563.1:['XOC_0079', '5930941', '5931856', '-1', '40.856', 'True']
CP003563.1:['XOC_0080', '6962690', '6964811', '-1', '86.217', 'True']
CP003563.1:['XOC_0082', '6965022', '6965331', '-1', '63.725', 'True']
CP003563.1:['XOC_0077', '6960105', '6961008', '-1', '74.061', 'True']
CP003563.1:['XOC_0083', '6965332', '6966640', '-1', '82.71', 'True']
CP003563.1:['XOC_0078', '6961004', '6962555', '-1', '76.154', 'True']
CP003563.1:['XOC_0081', '4201693', '4202449', '1', '42.169', 'True']
CP003563.1:['XOC_0076', '6958970', '6960020', '-1', '89.443', 'True']
AXAZ01000001.1:['XOC_0081', '6829404', '6830250', '-1', '87.64', 'True']
AXAZ01000001.1:['XOC_0080', '6828061', '6829405', '-1', '81.655', 'True']
AXAZ01000001.1:['XOC_0084', '982140', '983379', '1', '30.534', 'True']
AXAZ01000001.1:['XOC_0083', '6830545', '6831832', '-1', '85.132', 'True']
AXAZ01000001.1:['XOC_0082', '6830259', '6830544', '-1', '64.894', 'True']
AXAZ01000001.1:['XOC_0078', '6817671', '6819078', '-1', '75.778', 'True']
AXAZ01000001.1:['XOC_0079', '6819359', '6820004', '-1', '80.841', 'True']
AUFA01000001.1:['XOC_0078', '5902645', '5904205', '1', '76.786', 'True']
AUFA01000001.1:['XOC_0080', '5899913', '5901257', '1', '86.801', 'True']
AUFA01000001.1:['XOC_0084', '5896198', '5897401', '1', '89.0', 'True']
AUFA01000001.1:['XOC_0083', '5897494', '5898784', '1', '84.884', 'True']
AUFA01000001.1:['XOC_0081', '5899080', '5899914', '1', '86.909', 'True']
AUFA01000001.1:['XOC_0079', '5901410', '5902409', '1', '77.946', 'True']
AUFA01000001.1:['XOC_0082', '5898785', '5899094', '1', '64.706', 'True']
AUFA01000001.1:['XOC_0077', '5904191', '5905094', '1', '74.061', 'True']
CP002447.1:['XOC_0079', '5839993', '5840992', '1', '78.354', 'True']
CP002447.1:['XOC_0077', '5842835', '5843738', '1', '72.696', 'True']
CP002447.1:['XOC_0083', '5836068', '5837361', '1', '35.583', 'True']
CP002447.1:['XOC_0078', '5841288', '5842839', '1', '76.331', 'True']
CP002447.1:['XOC_0076', '5843822', '5844872', '1', '87.977', 'True']
CP002447.1:['XOC_0081', '5838142', '5838490', '1', '83.019', 'False']
CP002447.1:['XOC_0080', '5838504', '5839842', '1', '83.596', 'True']
CP002447.1:['XOC_0082', '5837362', '5837668', '1', '63.366', 'True']
AJQN01000001.1:['XOC_0078', '5757938', '5759489', '-1', '76.154', 'True']
AJQN01000001.1:['XOC_0082', '5761956', '5762265', '-1', '63.725', 'True']
AJQN01000001.1:['XOC_0080', '5759624', '5761745', '-1', '86.217', 'True']
AJQN01000001.1:['XOC_0079', '1213195', '1214212', '1', '32.11', 'True']
AJQN01000001.1:['XOC_0083', '5762266', '5763574', '-1', '34.347', 'True']
AJQN01000001.1:['XOC_0077', '5757039', '5757942', '-1', '74.061', 'True']
AJQN01000001.1:['XOC_0081', '3687388', '3688144', '1', '41.434', 'True']
AJQN01000001.1:['XOC_0076', '5755904', '5756954', '-1', '89.443', 'True']
AYWZ01000001.1:['XOC_0081', '6359249', '6360086', '1', '82.131', 'True']
AYWZ01000001.1:['XOC_0080', '6360085', '6361429', '1', '84.34', 'True']
AYWZ01000001.1:['XOC_0083', '6357592', '6358948', '1', '82.979', 'True']
AYWZ01000001.1:['XOC_0082', '6358949', '6359219', '1', '82.131', 'True']
AYWZ01000001.1:['XOC_0077', '6364351', '6365254', '1', '69.966', 'True']
AYWZ01000001.1:['XOC_0079', '6361559', '6362552', '1', '75.385', 'True']
AYWZ01000001.1:['XOC_0084', '6356361', '6357567', '1', '87.282', 'True']
AYWZ01000001.1:['XOC_0083', '4572594', '4573830', '-1', '30.086', 'True']
AYWZ01000001.1:['XOC_0078', '6362698', '6364048', '1', '75.648', 'True']
AYWZ01000001.1:['XOC_0076', '6365273', '6366386', '1', '85.278', 'True']
AXBM01000144.1:['XOC_0079', '2598273', '2599188', '1', '42.248', 'True']
AXBM01000144.1:['XOC_0084', '6585059', '6586262', '1', '87.0', 'True']
AXBM01000144.1:['XOC_0083', '6586356', '6587319', '1', '83.571', 'True']
AXBM01000144.1:['XOC_0080', '2763269', '2764670', '1', '29.121', 'False']
AXBM01000144.1:['XOC_0081', '1273006', '1273762', '1', '41.365', 'True']
AXBM01000144.1:['XOC_0083', '900564', '901812', '-1', '28.406', 'True']
CP000133.1:['XOC_0086', '6421496', '6422426', '1', '100.0', 'True']
CP000133.1:['XOC_0076', '6422614', '6423781', '-1', '81.944', 'True']
CP000133.1:['XOC_0081', '6428338', '6429181', '-1', '84.411', 'True']
CP000133.1:['XOC_0078', '6424666', '6426220', '-1', '73.176', 'True']
CP000133.1:['XOC_0082', '6429167', '6430427', '-1', '85.167', 'True']
CP000133.1:['XOC_0079', '4248315', '4249311', '-1', '40.909', 'True']
CP000133.1:['XOC_0083', '6430448', '6430769', '-1', '85.167', 'True']
CP000133.1:['XOC_0084', '6430774', '6432055', '-1', '85.0', 'True']
CP000133.1:['XOC_0080', '6426995', '6428339', '-1', '78.523', 'True']
CP000133.1:['XOC_0077', '6423767', '6424670', '-1', '70.169', 'True']
AYWW01000001.1:['XOC_0081', '6243754', '6244600', '1', '81.1', 'True']
AYWW01000001.1:['XOC_0083', '6242106', '6243462', '1', '82.979', 'True']
AYWW01000001.1:['XOC_0078', '6247212', '6248763', '1', '75.246', 'True']
AYWW01000001.1:['XOC_0084', '6240878', '6242081', '1', '87.25', 'True']
AYWW01000001.1:['XOC_0082', '6243463', '6243724', '1', '81.1', 'True']
AYWW01000001.1:['XOC_0080', '6244599', '6245943', '1', '84.34', 'True']
AYWW01000001.1:['XOC_0079', '6246073', '6247066', '1', '75.385', 'True']
AYWW01000001.1:['XOC_0076', '6249648', '6250797', '1', '86.275', 'True']
AYWW01000001.1:['XOC_0077', '6248759', '6249662', '1', '71.672', 'True']
LFIO01000001.1:['XOC_0084', '124132', '125413', '-1', '85.25', 'True']
LFIO01000001.1:['XOC_0083', '123806', '124127', '-1', '84.928', 'True']
LFIO01000001.1:['XOC_0082', '122525', '123785', '-1', '84.928', 'True']
LFIO01000001.1:['XOC_0078', '118026', '119580', '-1', '73.176', 'True']
LFIO01000001.1:['XOC_0086', '114856', '115786', '1', '100.0', 'True']
LFIO01000001.1:['XOC_0079', '114856', '115786', '1', '32.319', 'True']
LFIO01000001.1:['XOC_0077', '117127', '118030', '-1', '70.169', 'True']
LFIO01000001.1:['XOC_0080', '120353', '121697', '-1', '78.523', 'True']
LFIO01000001.1:['XOC_0081', '121696', '122539', '-1', '84.791', 'True']
LFIO01000001.1:['XOC_0076', '115974', '117141', '-1', '82.222', 'True']
JFGP01000001.1:['XOC_0081', '5328577', '5329420', '1', '84.791', 'True']
JFGP01000001.1:['XOC_0080', '5329419', '5330763', '1', '78.523', 'True']
JFGP01000001.1:['XOC_0082', '5328270', '5328591', '1', '84.928', 'True']
JFGP01000001.1:['XOC_0077', '5333086', '5333989', '1', '69.831', 'True']
JFGP01000001.1:['XOC_0079', '5335330', '5336260', '-1', '32.319', 'True']
JFGP01000001.1:['XOC_0083', '5326989', '5328249', '1', '84.928', 'True']
JFGP01000001.1:['XOC_0086', '5335330', '5336260', '-1', '100.0', 'True']
JFGP01000001.1:['XOC_0084', '5325703', '5326984', '1', '85.25', 'True']
JFGP01000001.1:['XOC_0078', '5331536', '5333090', '1', '73.176', 'True']
JFGP01000001.1:['XOC_0076', '5333975', '5335142', '1', '82.222', 'True']
AKZV01000001.1:['XOC_0080', '3970826', '3972227', '1', '29.121', 'False']
AKZV01000001.1:['XOC_0083', '2369180', '2370143', '-1', '83.929', 'True']
AKZV01000001.1:['XOC_0079', '3199129', '3200044', '-1', '42.248', 'True']
AKZV01000001.1:['XOC_0081', '1332067', '1332823', '-1', '41.365', 'True']
AKZV01000001.1:['XOC_0084', '2370237', '2370573', '-1', '89.189', 'False']
AKZV01000001.1:['XOC_0083', '214538', '215786', '1', '28.406', 'True']
AXAD01000001.1:['XOC_0081', '8258449', '8259295', '1', '83.835', 'True']
AXAD01000001.1:['XOC_0078', '8262037', '8263588', '1', '74.753', 'True']
AXAD01000001.1:['XOC_0082', '8258154', '8258463', '1', '60.784', 'True']
AXAD01000001.1:['XOC_0083', '8256865', '8258167', '1', '84.235', 'True']
AXAD01000001.1:['XOC_0084', '8255569', '8256772', '1', '87.5', 'True']
AXAD01000001.1:['XOC_0079', '8260759', '8261758', '1', '76.737', 'True']
AXAD01000001.1:['XOC_0080', '8259294', '8260638', '1', '80.761', 'True']
AXAD01000001.1:['XOC_0077', '8263584', '8264487', '1', '72.355', 'True']
AXAU01000001.1:['XOC_0081', '6186162', '6187044', '1', '85.145', 'True']
AXAU01000001.1:['XOC_0083', '6184612', '6185902', '1', '85.176', 'True']
AXAU01000001.1:['XOC_0078', '6189776', '6191327', '1', '75.192', 'True']
AXAU01000001.1:['XOC_0084', '6183318', '6184521', '1', '89.25', 'True']
AXAU01000001.1:['XOC_0079', '6188527', '6189535', '1', '77.91', 'True']
AXAU01000001.1:['XOC_0077', '6191323', '6192226', '1', '73.379', 'True']
AXAU01000001.1:['XOC_0076', '6192245', '6192530', '1', '59.722', 'False']
AXAU01000001.1:['XOC_0082', '6185903', '6186212', '1', '63.725', 'True']
AXAU01000001.1:['XOC_0080', '6187043', '6188387', '1', '82.103', 'True']
CM002796.1:['XOC_0083', '4396872', '4398141', '-1', '30.831', 'True']
CM002796.1:['XOC_0078', '5452242', '5453175', '1', '74.121', 'True']
CM002796.1:['XOC_0076', '5454896', '5455202', '1', '89.362', 'False']
CM002796.1:['XOC_0076', '5454087', '5454915', '1', '82.593', 'True']
CM002796.1:['XOC_0077', '5453171', '5454068', '1', '70.548', 'True']
CM002796.1:['XOC_0079', '5449540', '5451322', '1', '75.976', 'True']
CM002796.1:['XOC_0081', '5800636', '5801392', '-1', '43.373', 'True']
CM002796.1:['XOC_0084', '6529213', '6530392', '-1', '28.065', 'True']
AJQT01000001.1:['XOC_0081', '2721498', '2722251', '-1', '42.063', 'True']
AJQT01000001.1:['XOC_0077', '5589704', '5590607', '-1', '74.061', 'True']
AJQT01000001.1:['XOC_0080', '5592289', '5594410', '-1', '86.217', 'True']
AJQT01000001.1:['XOC_0078', '5590603', '5592154', '-1', '76.154', 'True']
AJQT01000001.1:['XOC_0083', '5594931', '5596239', '-1', '34.347', 'True']
AJQT01000001.1:['XOC_0079', '1247412', '1248327', '-1', '41.034', 'True']
AJQT01000001.1:['XOC_0082', '5594621', '5594930', '-1', '63.725', 'True']
AJQT01000001.1:['XOC_0076', '5588569', '5589685', '-1', '86.944', 'True']
AZUW01000001.1:['XOC_0079', '5731001', '5731997', '-1', '77.341', 'True']
AZUW01000001.1:['XOC_0081', '5733482', '5734355', '-1', '84.286', 'True']
AZUW01000001.1:['XOC_0083', '5734601', '5735906', '-1', '85.579', 'True']
AZUW01000001.1:['XOC_0085', '4436708', '4437941', '1', '82.642', 'True']
AZUW01000001.1:['XOC_0084', '5736000', '5737203', '-1', '90.0', 'True']
AZUW01000001.1:['XOC_0078', '5729396', '5730947', '-1', '76.786', 'True']
AZUW01000001.1:['XOC_0077', '5728497', '5729400', '-1', '72.355', 'True']
AZUW01000001.1:['XOC_0080', '5732139', '5733483', '-1', '85.011', 'True']
AZUW01000001.1:['XOC_0082', '5734305', '5734614', '-1', '62.745', 'True']
AYWP01000001.1:['XOC_0076', '4150517', '4151663', '-1', '86.15', 'True']
AYWP01000001.1:['XOC_0081', '4156702', '4156963', '-1', '81.443', 'True']
AYWP01000001.1:['XOC_0077', '4151649', '4152552', '-1', '71.331', 'True']
AYWP01000001.1:['XOC_0078', '4152548', '4154096', '-1', '75.639', 'True']
AYWP01000001.1:['XOC_0080', '4155359', '4156703', '-1', '85.011', 'True']
AYWP01000001.1:['XOC_0079', '4154242', '4155229', '-1', '77.532', 'True']
AYWP01000001.1:['XOC_0083', '4157840', '4159196', '-1', '82.742', 'True']
AYWP01000001.1:['XOC_0082', '4156993', '4157839', '-1', '81.443', 'True']
AYWP01000001.1:['XOC_0084', '4159221', '4160424', '-1', '88.0', 'True']
AXAT01000001.1:['XOC_0077', '5819464', '5820367', '-1', '74.061', 'True']
AXAT01000001.1:['XOC_0083', '5825859', '5827062', '-1', '84.25', 'True']
AXAT01000001.1:['XOC_0082', '5825021', '5825858', '-1', '81.443', 'True']
AXAT01000001.1:['XOC_0080', '5823375', '5824728', '-1', '82.735', 'True']
AXAT01000001.1:['XOC_0078', '5820363', '5821914', '-1', '75.0', 'True']
AXAT01000001.1:['XOC_0081', '5824718', '5824988', '-1', '81.443', 'True']
AXAT01000001.1:['XOC_0084', '5827151', '5828438', '-1', '88.474', 'True']
AXAT01000001.1:['XOC_0079', '5822222', '5823113', '-1', '80.405', 'True']
AMCX01000001.1:['XOC_0083', '5347022', '5348315', '1', '35.276', 'True']
AMCX01000001.1:['XOC_0084', '5345725', '5346928', '1', '88.25', 'True']
AMCX01000001.1:['XOC_0078', '5352129', '5353662', '1', '76.134', 'True']
AMCX01000001.1:['XOC_0080', '5349462', '5350800', '1', '81.573', 'True']
AMCX01000001.1:['XOC_0079', '5350796', '5351906', '1', '75.522', 'True']
AMCX01000001.1:['XOC_0082', '5348316', '5348625', '1', '64.706', 'True']
AMCX01000001.1:['XOC_0083', '734104', '735352', '1', '33.898', 'True']
AMCX01000001.1:['XOC_0076', '5354664', '5355714', '1', '89.736', 'True']
AMCX01000001.1:['XOC_0077', '5353676', '5354579', '1', '73.72', 'True']
AMCX01000001.1:['XOC_0081', '5348611', '5349457', '1', '86.716', 'True']
LJSR01000001.1:['XOC_0077', '6958337', '6959240', '-1', '69.831', 'True']
LJSR01000001.1:['XOC_0084', '6965391', '6966672', '-1', '85.5', 'True']
LJSR01000001.1:['XOC_0079', '6956081', '6957011', '1', '33.083', 'True']
LJSR01000001.1:['XOC_0082', '6963784', '6965062', '-1', '83.765', 'True']
LJSR01000001.1:['XOC_0080', '6961612', '6962956', '-1', '78.747', 'True']
LJSR01000001.1:['XOC_0081', '6962955', '6963798', '-1', '85.171', 'True']
LJSR01000001.1:['XOC_0083', '6965065', '6965386', '-1', '83.765', 'True']
LJSR01000001.1:['XOC_0076', '6957202', '6958252', '-1', '86.471', 'True']
LJSR01000001.1:['XOC_0086', '6956081', '6957011', '1', '96.117', 'True']
LJSR01000001.1:['XOC_0078', '6959236', '6960790', '-1', '74.753', 'True']
AYVO01000001.1:['XOC_0081', '5697883', '5698729', '1', '80.412', 'True']
AYVO01000001.1:['XOC_0082', '5697592', '5697853', '1', '80.412', 'True']
AYVO01000001.1:['XOC_0078', '5701336', '5702887', '1', '74.423', 'True']
AYVO01000001.1:['XOC_0076', '5703805', '5704918', '1', '85.833', 'True']
AYVO01000001.1:['XOC_0077', '5702883', '5703786', '1', '70.307', 'True']
AYVO01000001.1:['XOC_0084', '5695007', '5696210', '1', '88.25', 'True']
AYVO01000001.1:['XOC_0080', '5698728', '5700072', '1', '83.893', 'True']
AYVO01000001.1:['XOC_0083', '5696235', '5697591', '1', '82.742', 'True']
AYVO01000001.1:['XOC_0079', '5700198', '5701191', '1', '75.692', 'True']
CP000874.1:['XOC_0082', '6716691', '6717000', '1', '65.686', 'True']
CP000874.1:['XOC_0083', '3519171', '3520419', '-1', '29.48', 'True']
CP000874.1:['XOC_0077', '6722175', '6723081', '1', '73.81', 'True']
CP000874.1:['XOC_0078', '6720628', '6722179', '1', '75.962', 'True']
CP000874.1:['XOC_0079', '6719319', '6720318', '1', '77.341', 'True']
CP000874.1:['XOC_0083', '6715258', '6716662', '1', '85.167', 'True']
CP000874.1:['XOC_0081', '6716950', '6717823', '1', '81.1', 'True']
CP000874.1:['XOC_0080', '6717822', '6719166', '1', '85.235', 'True']
CP000874.1:['XOC_0084', '6713963', '6715166', '1', '89.5', 'True']
AJQU01000001.1:['XOC_0081', '3335751', '3336522', '-1', '35.039', 'True']
AJQU01000001.1:['XOC_0082', '5895429', '5895738', '-1', '63.725', 'True']
AJQU01000001.1:['XOC_0076', '5889377', '5890427', '-1', '89.15', 'True']
AJQU01000001.1:['XOC_0078', '5891411', '5892962', '-1', '76.154', 'True']
AJQU01000001.1:['XOC_0077', '5890512', '5891415', '-1', '74.061', 'True']
AJQU01000001.1:['XOC_0079', '2221768', '2222683', '1', '39.024', 'True']
AJQU01000001.1:['XOC_0080', '5893097', '5895218', '-1', '86.217', 'True']
AJQU01000001.1:['XOC_0083', '5895739', '5897047', '-1', '34.347', 'True']
AJQL01000001.1:['XOC_0080', '3677080', '3678424', '-1', '81.208', 'True']
AJQL01000001.1:['XOC_0079', '3675927', '3676926', '-1', '77.039', 'True']
AJQL01000001.1:['XOC_0077', '3673301', '3674189', '-1', '72.917', 'True']
